"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","deposit"
54,"unemployed","single","secondary","no",3611,"yes","no","cellular",5,"feb",81,1,999,0,"unknown","no"
60,"management","married","secondary","no",0,"no","no","cellular",20,"may",321,4,87,8,"failure","no"
53,"technician","married","primary","no",6839,"yes","no","cellular",19,"nov",77,1,999,0,"unknown","no"
37,"retired","married","secondary","no",71,"no","yes","cellular",8,"may",254,1,999,0,"unknown","no"
33,"blue-collar","married","secondary","no",1541,"yes","no","unknown",23,"may",423,2,999,0,"unknown","no"
32,"technician","married","secondary","no",599,"no","no","cellular",19,"nov",79,1,999,0,"unknown","no"
48,"technician","divorced","tertiary","no",113,"no","yes","cellular",22,"jul",38,1,999,0,"unknown","no"
42,"blue-collar","married","unknown","no",149,"yes","no","telephone",23,"jul",329,3,999,0,"unknown","no"
49,"blue-collar","married","secondary","no",3309,"yes","no","cellular",15,"may",349,2,999,0,"unknown","no"
41,"technician","married","secondary","no",2990,"yes","no","unknown",30,"may",62,3,999,0,"unknown","no"
45,"management","married","tertiary","no",3643,"no","no","cellular",21,"nov",162,1,999,0,"unknown","no"
55,"blue-collar","married","secondary","no",467,"no","no","cellular",25,"aug",129,5,999,0,"unknown","no"
49,"services","divorced","secondary","no",933,"no","yes","cellular",29,"jul",92,33,999,0,"unknown","no"
50,"technician","married","secondary","no",1838,"yes","yes","cellular",13,"aug",221,8,999,0,"unknown","no"
38,"entrepreneur","married","secondary","no",-272,"no","yes","unknown",17,"jun",143,2,999,0,"unknown","no"
26,"admin.","single","secondary","no",-12,"yes","no","unknown",4,"jun",98,1,999,0,"unknown","no"
54,"self-employed","married","primary","no",0,"no","yes","telephone",9,"jul",130,2,999,0,"unknown","no"
31,"technician","married","secondary","yes",-463,"yes","no","unknown",28,"may",210,1,999,0,"unknown","no"
36,"technician","divorced","tertiary","no",119,"no","no","cellular",23,"jul",127,8,999,0,"unknown","no"
51,"unknown","married","unknown","no",2642,"no","no","cellular",29,"jul",52,6,999,0,"unknown","no"
41,"services","married","secondary","no",804,"yes","no","unknown",20,"may",127,8,999,0,"unknown","no"
40,"management","married","secondary","no",99,"no","no","cellular",9,"feb",15,5,999,0,"unknown","no"
41,"self-employed","single","unknown","no",426,"yes","no","unknown",19,"jun",75,1,999,0,"unknown","no"
34,"blue-collar","married","secondary","no",34,"no","no","cellular",30,"jan",379,1,999,0,"unknown","no"
25,"technician","single","secondary","no",173,"yes","no","cellular",15,"may",186,2,999,0,"unknown","no"
44,"management","divorced","tertiary","no",3932,"yes","no","unknown",8,"may",40,2,999,0,"unknown","no"
28,"services","married","secondary","no",222,"yes","no","unknown",29,"may",101,23,999,0,"unknown","no"
43,"admin.","single","secondary","no",386,"no","no","cellular",12,"oct",242,1,92,4,"success","no"
32,"management","married","tertiary","no",937,"no","no","cellular",26,"may",61,1,190,1,"failure","no"
51,"management","single","tertiary","no",1202,"yes","no","cellular",18,"nov",99,1,999,0,"unknown","no"
44,"entrepreneur","married","tertiary","no",3463,"yes","yes","cellular",28,"aug",210,3,999,0,"unknown","no"
38,"admin.","divorced","secondary","no",3834,"yes","no","cellular",13,"apr",363,2,327,1,"failure","no"
30,"technician","single","tertiary","no",0,"no","no","cellular",28,"aug",262,6,999,0,"unknown","no"
34,"management","married","tertiary","no",63,"no","no","cellular",18,"nov",83,1,102,2,"failure","no"
28,"admin.","single","secondary","no",-126,"no","yes","cellular",8,"jul",360,4,999,0,"unknown","no"
31,"technician","married","secondary","no",589,"yes","yes","unknown",21,"may",151,1,999,0,"unknown","no"
29,"blue-collar","married","primary","no",787,"yes","no","cellular",24,"jul",257,2,999,0,"unknown","no"
22,"student","single","tertiary","no",1161,"no","yes","cellular",16,"jun",119,1,999,0,"unknown","no"
35,"technician","divorced","tertiary","no",0,"yes","no","unknown",15,"may",759,1,999,0,"unknown","no"
36,"technician","married","secondary","no",1345,"yes","no","cellular",18,"nov",82,1,172,3,"failure","no"
28,"blue-collar","married","secondary","no",0,"yes","no","cellular",15,"may",6,4,999,0,"unknown","no"
56,"admin.","married","secondary","no",5310,"no","no","unknown",19,"jun",74,1,999,0,"unknown","no"
31,"blue-collar","single","primary","no",2369,"yes","no","cellular",18,"may",87,1,999,0,"unknown","no"
52,"management","married","secondary","no",5193,"no","no","cellular",23,"apr",477,2,999,0,"unknown","no"
44,"blue-collar","married","secondary","no",794,"yes","no","cellular",5,"feb",342,1,252,1,"other","no"
52,"management","married","tertiary","no",1944,"yes","no","cellular",15,"apr",238,3,323,2,"failure","no"
29,"blue-collar","single","secondary","no",2891,"yes","no","cellular",7,"may",293,1,999,0,"unknown","no"
40,"blue-collar","married","secondary","no",679,"yes","no","cellular",17,"apr",642,2,304,1,"failure","no"
39,"management","married","tertiary","no",378,"yes","yes","unknown",5,"may",127,2,999,0,"unknown","no"
31,"management","single","tertiary","no",518,"yes","no","cellular",18,"may",399,1,999,0,"unknown","no"
25,"technician","single","secondary","no",1847,"no","no","cellular",26,"may",137,2,999,0,"unknown","no"
34,"technician","single","secondary","no",4367,"no","no","cellular",13,"aug",121,2,999,0,"unknown","no"
39,"technician","married","secondary","no",24,"yes","no","cellular",28,"jan",79,4,999,0,"unknown","no"
30,"technician","single","secondary","no",3096,"yes","no","cellular",11,"aug",272,4,999,0,"unknown","no"
53,"management","married","tertiary","no",0,"yes","no","cellular",14,"jul",85,3,999,0,"unknown","no"
43,"technician","divorced","secondary","no",6835,"no","no","cellular",19,"nov",187,1,152,2,"failure","no"
53,"retired","married","primary","no",136,"yes","no","unknown",6,"may",267,2,999,0,"unknown","no"
26,"services","single","secondary","no",1114,"no","no","cellular",9,"feb",44,2,999,0,"unknown","no"
36,"technician","married","secondary","no",3579,"no","no","cellular",14,"aug",308,2,999,0,"unknown","no"
57,"retired","married","primary","no",1532,"no","no","telephone",6,"feb",286,3,999,0,"unknown","no"
33,"management","single","tertiary","no",5276,"no","no","cellular",4,"nov",572,1,999,0,"unknown","no"
23,"technician","single","secondary","no",4545,"no","no","cellular",3,"jun",200,1,999,0,"unknown","no"
58,"retired","married","secondary","no",235,"no","no","cellular",27,"aug",88,4,999,0,"unknown","no"
32,"management","single","tertiary","no",974,"yes","no","unknown",3,"jun",228,1,999,0,"unknown","no"
38,"management","single","tertiary","no",91,"yes","no","unknown",19,"may",492,9,999,0,"unknown","no"
34,"blue-collar","single","secondary","no",79,"no","yes","cellular",20,"nov",104,1,999,0,"unknown","no"
31,"management","married","tertiary","no",84,"no","yes","unknown",1,"jul",143,1,999,0,"unknown","no"
29,"blue-collar","married","secondary","no",246,"yes","no","cellular",28,"jul",194,5,999,0,"unknown","no"
59,"admin.","married","secondary","no",2552,"no","yes","cellular",5,"aug",125,3,999,0,"unknown","no"
38,"technician","single","secondary","no",211,"yes","no","cellular",29,"jan",236,2,999,0,"unknown","no"
33,"blue-collar","married","secondary","no",842,"no","no","cellular",29,"aug",111,4,999,0,"unknown","no"
32,"technician","single","tertiary","no",703,"yes","no","cellular",3,"feb",489,2,271,2,"success","no"
49,"blue-collar","married","primary","no",247,"no","yes","cellular",22,"jul",283,1,999,0,"unknown","no"
34,"services","married","secondary","no",244,"no","no","cellular",4,"feb",696,2,999,0,"unknown","no"
48,"admin.","married","secondary","no",112,"no","no","cellular",18,"aug",139,5,999,0,"unknown","no"
47,"self-employed","married","secondary","no",318,"no","no","cellular",21,"nov",83,1,999,0,"unknown","no"
31,"management","married","tertiary","no",1514,"no","no","cellular",12,"aug",284,2,999,0,"unknown","no"
32,"blue-collar","married","primary","no",206,"yes","no","unknown",20,"may",205,2,999,0,"unknown","no"
33,"management","divorced","tertiary","yes",280,"no","yes","cellular",18,"nov",155,1,999,0,"unknown","no"
59,"retired","married","secondary","no",163,"no","no","cellular",24,"jul",464,1,999,0,"unknown","no"
38,"management","married","tertiary","no",5432,"yes","yes","cellular",17,"apr",707,1,149,2,"failure","no"
38,"blue-collar","married","primary","no",467,"yes","no","unknown",16,"may",379,1,999,0,"unknown","no"
31,"blue-collar","single","unknown","yes",17,"yes","no","cellular",6,"may",72,1,999,0,"unknown","no"
39,"student","single","tertiary","no",1107,"yes","no","telephone",20,"apr",407,4,999,0,"unknown","no"
56,"blue-collar","divorced","primary","no",3021,"no","no","unknown",9,"jun",419,2,999,0,"unknown","no"
44,"services","married","secondary","no",850,"no","yes","cellular",16,"jul",220,5,999,0,"unknown","no"
27,"blue-collar","single","secondary","no",484,"yes","no","cellular",15,"apr",309,2,999,0,"unknown","no"
38,"management","married","tertiary","no",-239,"yes","no","unknown",2,"jun",221,2,999,0,"unknown","no"
44,"self-employed","married","secondary","no",304,"yes","no","telephone",9,"feb",15,5,999,0,"unknown","no"
29,"technician","single","secondary","no",18,"no","no","cellular",3,"feb",206,3,999,0,"unknown","no"
35,"self-employed","single","tertiary","no",-30,"no","no","cellular",4,"feb",218,2,999,0,"unknown","no"
35,"admin.","single","tertiary","no",777,"no","yes","cellular",28,"may",85,1,999,0,"unknown","no"
47,"admin.","married","secondary","no",1265,"no","no","cellular",7,"aug",137,2,999,0,"unknown","no"
31,"management","married","tertiary","no",607,"no","no","cellular",27,"aug",200,5,999,0,"unknown","no"
38,"management","married","secondary","no",3840,"yes","yes","cellular",17,"nov",62,1,999,0,"unknown","no"
37,"management","married","tertiary","no",21,"yes","no","unknown",29,"may",52,2,999,0,"unknown","no"
44,"management","married","secondary","no",0,"no","no","cellular",21,"aug",167,2,999,0,"unknown","no"
31,"admin.","single","tertiary","no",383,"no","yes","cellular",6,"feb",119,1,214,1,"failure","no"
46,"management","divorced","secondary","no",361,"yes","no","unknown",19,"may",86,7,999,0,"unknown","no"
55,"management","divorced","tertiary","no",668,"no","no","cellular",28,"aug",25,6,999,0,"unknown","no"
37,"blue-collar","single","secondary","no",847,"no","no","unknown",20,"jun",54,1,999,0,"unknown","no"
57,"retired","divorced","secondary","no",-663,"yes","no","cellular",13,"may",210,1,351,2,"failure","no"
32,"admin.","single","secondary","no",6981,"yes","no","cellular",2,"jun",154,1,194,3,"failure","no"
56,"management","married","secondary","no",230,"no","no","unknown",9,"may",73,4,999,0,"unknown","no"
46,"blue-collar","married","secondary","no",942,"no","no","cellular",18,"nov",240,3,119,2,"failure","no"
32,"technician","married","secondary","no",253,"yes","no","cellular",21,"nov",76,1,170,3,"failure","no"
35,"management","single","tertiary","no",995,"no","no","cellular",5,"feb",39,1,999,0,"unknown","no"
33,"technician","single","secondary","no",3499,"yes","no","cellular",11,"may",143,3,356,1,"other","no"
32,"technician","single","secondary","no",12,"no","no","cellular",7,"aug",173,2,999,0,"unknown","no"
44,"blue-collar","married","secondary","no",701,"no","yes","unknown",3,"jul",269,2,999,0,"unknown","no"
47,"technician","married","tertiary","yes",-813,"yes","yes","unknown",16,"jun",179,25,999,0,"unknown","no"
47,"technician","married","secondary","no",321,"yes","yes","unknown",4,"jul",111,1,999,0,"unknown","no"
60,"technician","married","tertiary","no",91,"no","no","cellular",27,"aug",105,4,999,0,"unknown","no"
45,"retired","divorced","secondary","no",1735,"no","yes","unknown",17,"jun",306,1,999,0,"unknown","no"
24,"admin.","single","secondary","no",1235,"yes","yes","unknown",30,"may",76,3,999,0,"unknown","no"
40,"services","married","secondary","no",105,"yes","no","cellular",9,"jul",161,1,999,0,"unknown","no"
51,"management","married","primary","no",98,"yes","no","unknown",7,"may",114,2,999,0,"unknown","no"
56,"admin.","single","secondary","no",-13,"no","no","unknown",16,"jun",52,3,999,0,"unknown","no"
32,"admin.","married","secondary","no",-1,"no","no","cellular",8,"jul",228,2,999,0,"unknown","no"
37,"services","married","secondary","no",50,"yes","no","unknown",8,"may",352,3,999,0,"unknown","no"
35,"management","single","tertiary","no",-292,"yes","no","cellular",18,"may",166,2,272,6,"failure","no"
26,"blue-collar","single","secondary","no",592,"yes","yes","unknown",27,"may",174,1,999,0,"unknown","no"
37,"blue-collar","married","primary","no",89,"no","yes","telephone",8,"jul",336,4,999,0,"unknown","no"
31,"technician","married","secondary","no",106,"yes","no","unknown",13,"may",101,13,999,0,"unknown","no"
44,"blue-collar","single","primary","no",0,"yes","no","cellular",24,"jul",184,1,999,0,"unknown","no"
32,"technician","single","secondary","no",5205,"no","no","cellular",20,"nov",352,1,999,0,"unknown","no"
28,"technician","single","secondary","no",100,"yes","no","cellular",13,"may",70,5,999,0,"unknown","no"
30,"management","married","tertiary","no",1384,"yes","no","telephone",14,"aug",60,2,999,0,"unknown","no"
36,"services","married","secondary","no",1746,"yes","no","cellular",7,"apr",15,1,316,1,"failure","no"
31,"technician","single","secondary","no",1819,"yes","no","unknown",15,"may",226,2,999,0,"unknown","no"
44,"blue-collar","single","primary","no",1308,"no","yes","unknown",19,"jun",161,1,999,0,"unknown","no"
73,"retired","married","primary","no",508,"no","no","cellular",14,"jun",154,4,97,1,"success","no"
35,"management","single","tertiary","no",0,"no","no","cellular",18,"aug",276,5,999,0,"unknown","no"
31,"blue-collar","single","secondary","no",33,"yes","no","unknown",15,"may",214,4,999,0,"unknown","no"
51,"management","married","tertiary","no",656,"yes","no","cellular",25,"jul",268,2,999,0,"unknown","no"
57,"management","married","tertiary","no",3431,"yes","no","cellular",21,"nov",55,2,189,1,"failure","no"
40,"technician","single","tertiary","no",693,"no","no","cellular",30,"jan",427,1,999,0,"unknown","no"
30,"management","single","tertiary","yes",35,"no","no","cellular",30,"jul",185,4,999,0,"unknown","no"
28,"technician","single","secondary","no",2034,"yes","no","unknown",21,"may",196,1,999,0,"unknown","no"
49,"management","married","tertiary","no",20,"yes","no","cellular",4,"feb",117,1,999,0,"unknown","no"
27,"admin.","single","tertiary","no",1993,"yes","no","cellular",5,"may",102,5,999,0,"unknown","no"
52,"management","married","tertiary","no",499,"no","no","cellular",6,"aug",115,4,999,0,"unknown","no"
48,"blue-collar","married","unknown","no",113,"no","no","cellular",11,"aug",104,13,999,0,"unknown","no"
32,"technician","married","tertiary","no",3850,"yes","no","cellular",20,"apr",63,4,999,0,"unknown","no"
59,"retired","married","secondary","no",136,"no","no","cellular",6,"aug",301,4,999,0,"unknown","no"
58,"blue-collar","married","primary","no",73,"no","no","unknown",17,"jun",116,1,999,0,"unknown","no"
58,"technician","married","secondary","no",1463,"yes","no","cellular",12,"aug",110,3,999,0,"unknown","no"
35,"technician","married","secondary","no",1144,"no","no","cellular",20,"aug",197,13,999,0,"unknown","no"
40,"services","single","secondary","no",19343,"yes","no","cellular",21,"nov",13,4,179,4,"failure","no"
41,"technician","married","secondary","no",-274,"yes","no","unknown",27,"may",182,3,999,0,"unknown","no"
31,"blue-collar","married","secondary","no",604,"yes","no","cellular",18,"nov",394,2,999,0,"unknown","no"
47,"management","single","tertiary","no",-230,"no","no","cellular",4,"feb",293,1,999,0,"unknown","no"
55,"retired","divorced","secondary","no",282,"yes","no","unknown",5,"jun",99,2,999,0,"unknown","no"
22,"student","single","unknown","no",1,"no","no","telephone",15,"jun",263,4,999,0,"unknown","no"
58,"unemployed","single","tertiary","no",2094,"no","no","cellular",1,"jun",161,2,999,0,"unknown","no"
37,"technician","married","secondary","no",157,"yes","no","unknown",7,"may",238,2,999,0,"unknown","no"
57,"retired","married","secondary","no",3783,"yes","no","unknown",6,"jun",198,3,999,0,"unknown","no"
35,"blue-collar","married","secondary","no",0,"yes","yes","cellular",8,"apr",519,1,999,0,"unknown","no"
27,"student","single","tertiary","no",4869,"yes","no","cellular",15,"may",258,2,343,4,"other","no"
36,"self-employed","married","tertiary","no",4515,"yes","no","unknown",17,"jun",408,2,999,0,"unknown","no"
35,"blue-collar","married","secondary","no",2054,"yes","no","unknown",20,"may",447,1,999,0,"unknown","no"
52,"blue-collar","married","primary","no",1271,"no","no","cellular",18,"aug",131,3,999,0,"unknown","no"
38,"entrepreneur","married","tertiary","no",678,"no","yes","cellular",18,"nov",82,2,152,1,"failure","no"
32,"technician","single","tertiary","no",3818,"no","no","cellular",18,"aug",100,4,999,0,"unknown","no"
31,"management","single","tertiary","yes",-365,"yes","no","unknown",30,"may",319,6,999,0,"unknown","no"
31,"admin.","married","secondary","no",368,"yes","no","cellular",5,"may",414,5,361,3,"other","no"
29,"admin.","divorced","secondary","no",504,"yes","no","cellular",7,"may",203,1,999,0,"unknown","no"
34,"services","married","secondary","no",22,"yes","no","unknown",6,"may",344,1,999,0,"unknown","no"
34,"management","married","tertiary","no",161,"yes","no","cellular",11,"jul",378,1,999,0,"unknown","no"
24,"services","single","secondary","no",11,"yes","no","unknown",27,"jun",114,4,999,0,"unknown","no"
28,"blue-collar","married","secondary","no",708,"yes","no","unknown",6,"jun",339,5,999,0,"unknown","no"
31,"technician","single","secondary","no",433,"no","no","cellular",11,"aug",1504,2,999,0,"unknown","no"
41,"management","divorced","tertiary","no",647,"yes","no","unknown",16,"may",270,1,999,0,"unknown","no"
59,"blue-collar","married","primary","no",416,"no","no","unknown",16,"jun",92,3,999,0,"unknown","no"
37,"technician","married","primary","no",0,"yes","no","unknown",6,"may",76,4,999,0,"unknown","no"
34,"blue-collar","married","primary","no",479,"no","no","cellular",11,"jul",772,1,999,0,"unknown","no"
28,"management","single","tertiary","no",3238,"yes","no","unknown",19,"may",7,1,999,0,"unknown","no"
51,"self-employed","married","secondary","no",4920,"no","no","telephone",2,"jun",392,2,999,0,"unknown","no"
41,"blue-collar","single","primary","no",0,"yes","no","unknown",16,"may",522,5,999,0,"unknown","no"
38,"technician","married","secondary","no",183,"yes","no","cellular",16,"apr",256,3,339,2,"failure","no"
49,"housemaid","married","primary","no",0,"yes","no","cellular",25,"jul",42,3,999,0,"unknown","no"
31,"technician","single","secondary","no",1170,"yes","no","unknown",2,"jun",120,2,999,0,"unknown","no"
60,"services","married","secondary","no",8837,"yes","no","unknown",16,"may",144,4,999,0,"unknown","no"
54,"admin.","married","tertiary","no",59,"yes","no","cellular",10,"jul",268,1,999,0,"unknown","no"
38,"technician","single","secondary","no",1685,"yes","no","unknown",5,"may",185,1,999,0,"unknown","no"
59,"retired","married","primary","no",0,"yes","no","cellular",28,"jul",20,4,999,0,"unknown","no"
34,"admin.","single","secondary","no",745,"yes","yes","cellular",25,"aug",76,1,999,0,"unknown","no"
42,"housemaid","divorced","secondary","no",314,"no","no","unknown",9,"jun",249,2,999,0,"unknown","no"
75,"retired","divorced","secondary","no",2199,"no","no","telephone",13,"nov",137,1,999,0,"unknown","no"
33,"blue-collar","married","primary","no",331,"yes","no","unknown",30,"may",139,3,999,0,"unknown","no"
50,"management","married","secondary","no",2910,"no","no","telephone",29,"jul",790,1,999,0,"unknown","no"
50,"admin.","divorced","secondary","no",3240,"no","no","cellular",21,"nov",144,2,999,0,"unknown","no"
30,"management","single","tertiary","no",13774,"no","no","cellular",14,"sep",380,1,999,0,"unknown","no"
42,"entrepreneur","single","primary","no",103,"yes","no","unknown",19,"may",156,5,999,0,"unknown","no"
56,"admin.","single","secondary","no",1854,"yes","no","telephone",7,"may",45,1,342,2,"failure","no"
46,"entrepreneur","married","secondary","no",0,"no","yes","cellular",18,"jul",115,1,999,0,"unknown","no"
52,"blue-collar","divorced","primary","no",0,"no","no","cellular",20,"nov",19,1,999,0,"unknown","no"
50,"admin.","married","secondary","no",-195,"no","no","cellular",22,"aug",119,4,999,0,"unknown","no"
46,"unknown","married","tertiary","no",8564,"no","no","cellular",2,"aug",397,2,342,1,"failure","no"
43,"services","married","secondary","no",43,"yes","no","cellular",18,"may",199,1,999,0,"unknown","no"
31,"management","single","tertiary","no",1308,"no","no","cellular",22,"aug",323,3,999,0,"unknown","no"
40,"management","married","tertiary","no",10786,"no","no","unknown",20,"jun",111,3,999,0,"unknown","no"
32,"entrepreneur","married","secondary","no",1996,"yes","no","cellular",18,"nov",271,1,999,0,"unknown","no"
30,"student","single","tertiary","no",31,"yes","no","cellular",14,"may",23,1,999,0,"unknown","no"
29,"management","married","tertiary","no",16,"yes","no","cellular",16,"jul",605,6,999,0,"unknown","no"
31,"services","single","secondary","no",3,"yes","no","cellular",5,"may",41,1,999,0,"unknown","no"
38,"blue-collar","married","primary","no",2240,"yes","no","cellular",19,"nov",551,1,183,1,"failure","no"
29,"blue-collar","single","secondary","no",234,"yes","no","cellular",8,"may",139,1,345,1,"other","no"
34,"self-employed","single","tertiary","no",1943,"yes","no","cellular",16,"apr",478,2,999,0,"unknown","no"
34,"blue-collar","married","secondary","no",261,"yes","no","cellular",3,"feb",88,5,251,3,"failure","no"
49,"services","single","primary","no",114,"yes","no","unknown",7,"may",99,2,999,0,"unknown","no"
52,"blue-collar","married","primary","no",1624,"no","no","unknown",20,"jun",114,3,999,0,"unknown","no"
38,"blue-collar","married","primary","no",132,"yes","no","cellular",14,"may",797,2,999,0,"unknown","no"
57,"blue-collar","single","primary","no",739,"yes","no","cellular",14,"may",172,2,364,1,"failure","no"
44,"blue-collar","married","primary","no",2,"no","yes","telephone",7,"jul",46,2,999,0,"unknown","no"
53,"technician","married","tertiary","no",673,"yes","no","cellular",9,"jul",182,1,999,0,"unknown","no"
60,"retired","married","secondary","no",2060,"no","no","cellular",26,"mar",454,1,88,3,"other","no"
33,"unemployed","single","tertiary","no",4874,"no","no","telephone",22,"feb",363,2,999,0,"unknown","no"
54,"services","married","secondary","no",171,"no","yes","cellular",14,"jul",673,8,999,0,"unknown","no"
55,"management","single","tertiary","no",0,"no","no","cellular",30,"apr",156,3,999,0,"unknown","no"
38,"blue-collar","single","primary","no",947,"yes","no","cellular",12,"may",361,2,999,0,"unknown","no"
30,"technician","single","secondary","no",458,"no","no","cellular",20,"nov",51,7,999,0,"unknown","no"
47,"unemployed","single","tertiary","no",2500,"no","no","cellular",30,"jan",240,1,999,0,"unknown","no"
57,"technician","divorced","secondary","no",3105,"yes","no","unknown",14,"may",173,11,999,0,"unknown","no"
28,"blue-collar","married","secondary","no",1238,"yes","no","unknown",14,"may",246,1,999,0,"unknown","no"
55,"management","single","tertiary","no",1498,"no","no","cellular",25,"aug",340,5,999,0,"unknown","no"
40,"blue-collar","divorced","secondary","no",793,"yes","no","unknown",15,"may",109,1,999,0,"unknown","no"
33,"technician","single","tertiary","no",8097,"no","yes","cellular",21,"aug",500,2,999,0,"unknown","no"
56,"retired","married","secondary","no",0,"no","no","cellular",26,"jan",413,2,999,0,"unknown","no"
34,"entrepreneur","married","tertiary","no",121,"yes","no","telephone",18,"may",57,6,999,0,"unknown","no"
32,"admin.","married","secondary","no",205,"no","no","cellular",18,"jul",197,3,999,0,"unknown","no"
29,"blue-collar","married","primary","no",111,"yes","no","cellular",6,"may",14,11,999,0,"unknown","no"
35,"management","married","tertiary","no",1193,"yes","no","unknown",2,"jun",101,2,999,0,"unknown","no"
26,"management","single","tertiary","no",3178,"no","no","cellular",2,"jun",64,1,999,0,"unknown","no"
34,"services","married","secondary","no",295,"yes","yes","cellular",4,"jul",64,1,999,0,"unknown","no"
37,"student","divorced","tertiary","no",0,"no","no","telephone",30,"jul",100,6,999,0,"unknown","no"
29,"management","single","tertiary","no",1218,"no","no","cellular",30,"jan",258,2,999,0,"unknown","no"
35,"management","single","tertiary","no",805,"no","no","cellular",17,"sep",613,1,999,0,"unknown","no"
40,"services","single","secondary","no",65,"yes","no","cellular",15,"may",15,3,999,0,"unknown","no"
43,"blue-collar","married","secondary","no",1311,"yes","no","unknown",14,"may",746,1,999,0,"unknown","no"
23,"admin.","married","secondary","no",299,"yes","no","unknown",19,"jun",104,1,999,0,"unknown","no"
38,"entrepreneur","married","tertiary","no",1438,"no","no","cellular",13,"nov",122,5,999,0,"unknown","no"
37,"management","divorced","tertiary","no",0,"yes","no","cellular",11,"may",217,6,999,0,"unknown","no"
37,"management","married","tertiary","no",2672,"yes","no","cellular",11,"aug",549,1,999,0,"unknown","no"
38,"services","married","secondary","no",-762,"yes","yes","unknown",30,"may",408,2,999,0,"unknown","no"
60,"blue-collar","married","primary","no",29184,"no","no","telephone",15,"jun",94,2,999,0,"unknown","no"
56,"admin.","single","secondary","no",-273,"no","no","cellular",8,"jul",119,2,999,0,"unknown","no"
37,"blue-collar","married","primary","no",1322,"yes","no","cellular",21,"nov",14,8,185,1,"other","no"
41,"technician","married","secondary","no",1788,"no","no","cellular",28,"aug",222,1,999,0,"unknown","no"
44,"management","married","secondary","no",488,"no","yes","cellular",29,"jan",138,2,183,11,"failure","no"
26,"admin.","single","secondary","no",586,"yes","yes","unknown",12,"may",215,1,999,0,"unknown","no"
37,"self-employed","divorced","tertiary","no",60,"no","yes","unknown",4,"jul",426,3,999,0,"unknown","no"
40,"admin.","married","secondary","no",824,"yes","no","cellular",17,"apr",359,1,999,0,"unknown","no"
54,"blue-collar","divorced","unknown","no",-473,"yes","no","cellular",14,"may",239,1,351,2,"failure","no"
41,"services","divorced","secondary","no",-19,"yes","no","unknown",19,"may",201,1,999,0,"unknown","no"
48,"blue-collar","divorced","primary","no",0,"no","no","unknown",6,"jun",248,2,999,0,"unknown","no"
49,"management","single","tertiary","no",370,"no","no","cellular",19,"aug",386,3,999,0,"unknown","no"
28,"technician","single","secondary","no",2000,"no","no","telephone",3,"feb",226,2,999,0,"unknown","no"
37,"blue-collar","married","secondary","no",-4,"yes","yes","unknown",29,"may",381,1,999,0,"unknown","no"
59,"retired","divorced","secondary","no",914,"no","no","cellular",28,"jan",192,1,999,0,"unknown","no"
