v_Vel,v_Acc,Space_Headway,Preceding_Distance,Following,Local_Y_diff
2.7038808,-0.9396984,10.7225592,1.6999915199999975,1,2.066909760000016
1.5410688000000003,-0.2383536,9.5106744,1.7010278399999947,1,1.521592079999948
1.5240000000000002,0.0,9.1446096,1.6127577600000222,1,1.3673937599999988
0.8458200000000001,-1.472184,9.2363544,1.679783279999981,1,0.2983992000000057
0.4242816,1.3523976,9.5484696,1.7020641600000204,1,1.8721425600000143
3.1348679999999995,1.008888,10.952073600000002,2.602809119999989,1,3.303544319999986
3.2915352000000007,-0.2124456,11.6826792,3.0486705599999766,1,3.2319163200000105
3.2455104,0.2121407999999999,11.4278664,3.372520559999998,1,3.3059827199999745
3.3945576,0.6711696,11.5683792,4.873812960000009,1,4.200022080000025
5.083454400000003,1.0125455999999995,13.1365752,5.969294639999987,1,5.249814239999978
5.260848000000002,0.0,14.9059392,6.2380977600000165,1,5.192146080000043
5.142585600000001,-0.0384047999999999,15.8941008,6.165982079999964,1,5.41053527999992
5.8792872,1.2112752000000002,16.867632,7.17267552000007,1,6.442588080000036
7.0485000000000015,1.1951208000000002,18.6296808,7.621097279999958,1,7.465070159999954
7.6206096,-0.00762,19.8086472,7.619725680000016,1,7.619298960000066
7.620609599999999,0.0390144,19.9637904,7.673919119999994,1,7.959211920000001
8.6099904,1.4837664,20.01774,8.551163999999943,1,9.039301199999954
9.208008,0.4142232,20.609661600000003,9.083131439999988,1,9.477085440000051
9.620707200000002,-0.4611624000000001,20.653248,9.093860400000096,1,9.35891448000001
9.4783656,1.4761464,20.2701144,9.666945359999945,1,10.225491360000037
10.666476000000005,0.0524256,20.5779624,10.715884080000135,1,10.633130879999952
10.5966768,-0.0006095999999999,21.068995200000003,11.273241359999927,1,10.63206408000002
10.668,0.0012192,21.7087704,11.08639895999994,1,10.684337280000022
10.8347256,0.9610344,22.163532,10.88773032000006,1,11.309847839999918
11.4431064,-0.8132064,22.3668336,10.458389040000045,1,11.162294159999988
11.0980728,0.135636,21.5149176,10.18135632000002,1,10.92543408000006
10.706709600000002,-0.3450336,20.5340712,9.43227983999992,1,10.668152400000054
10.668,0.0,19.040856,10.255056960000047,1,10.68205127999994
10.7033568,-0.0006095999999999,18.6284616,10.668000000000006,1,10.689061679999952
10.668,0.0,18.6138312,11.390711280000003,1,10.71280560000008
11.0127288,1.3277088,19.3154808,12.198278879999918,1,11.446763999999972
11.287658400000002,-1.327404,20.800771200000003,11.692067040000095,1,10.796381759999974
10.6247184,0.0006095999999999,21.0461352,10.591007519999836,1,10.63163736000007
10.5326688,-0.9104376,20.8413096,9.143878080000036,1,9.837938159999965
9.1857576,-0.8129016,19.3526664,7.797698400000058,1,8.587770480000017
7.8489048,-1.4807184000000002,17.312640000000005,6.615836399999921,1,7.097085119999974
6.273088800000001,-1.9958304,15.341193600000002,5.015362080000045,1,5.238048959999958
4.138269599999999,-1.709928,13.2594096,3.881749919999948,1,3.446129760000076
2.7627071999999995,-1.7087088,11.9027448,2.7287524800000256,1,1.8282208799998896
0.8625840000000002,-1.6270224000000002,11.1855504,1.5963290400001142,1,0.2442667200000414
0.0,0.0,10.953597599999998,1.392570239999941,1,0.0916228800000453
0.3645408,0.9680447999999998,12.102388800000003,1.5129967199999896,1,0.9149181599999564
1.3673328000000002,0.41148,13.5233664,1.0702137600000017,1,1.495866959999887
1.5240000000000002,0.0,13.678814399999998,0.91357703999995,1,1.5240000000000578
1.5240000000000002,0.0,13.097256000000002,0.9143695200000366,1,1.5239999999998872
1.5240000000000002,0.0,12.4873512,1.2298375199999896,1,1.5240000000001146
1.5240000000000002,0.0,12.192000000000002,1.52424383999994,1,1.538356080000085
1.6913352,0.8912352,12.192000000000002,1.6820083200000226,1,2.3516843999999537
2.957169600000001,0.6336792000000001,12.3364752,2.813852640000107,1,3.04415951999988
3.0480000000000005,0.0,12.798552000000004,3.04577495999996,1,3.0479695200000947
3.0480000000000005,0.0006096,12.799466400000004,2.967715680000026,1,3.0479999999998317
3.0480000000000005,0.0006096,12.719913600000002,3.2000647199999435,1,3.04803048000025
3.0480000000000005,0.0,12.872923200000002,3.26251824000002,1,3.0484571999998598
3.0431232,-0.0755904,13.086588,3.4499092800000426,1,2.984723520000045
3.1254192000000005,1.0527792,13.488009599999998,4.7541484799999125,1,4.010101200000008
4.7728632,0.6364224,15.2573736,5.998829760000092,1,4.844674080000118
4.8438816000000005,0.0,17.2468032,6.094719840000096,1,4.974427440000056
5.4059328,1.2484608,18.4958736,6.300398879999818,1,6.229258559999835
7.088428800000001,1.4852904,19.8223632,6.945630000000051,1,7.542550320000032
7.7809344,0.5218176000000001,20.5380336,7.606223040000032,1,7.844454720000158
7.937296800000001,0.6196583999999998,20.6011272,7.395789120000018,1,8.573993519999817
9.102852000000002,0.3813048,20.1536808,7.595951280000008,1,9.015404879999892
8.8876632,0.0009144,19.175272800000005,7.618963679999979,1,9.015831600000183
9.144000000000002,0.0,17.778984,8.034253679999892,1,9.145402080000054
9.1872816,0.3179064,16.797528000000003,9.041617680000058,1,9.473397359999922
9.8438208,0.6583680000000001,16.692981600000003,9.418899119999992,1,10.038527039999964
10.2818184,1.01346,16.639641599999997,10.250088720000122,1,11.008522560000074
11.4062256,-0.0893063999999999,16.851172800000004,10.314614879999908,1,11.246449439999992
11.2885728,0.3691128,16.1568384,10.87386192000008,1,11.326368000000002
11.205972,-0.7635240000000001,15.7843728,11.29540032,1,11.093561759999943
11.2721136,1.2563856000000002,15.753588000000002,11.410370880000071,1,11.777807280000047
12.137136000000002,0.2075687999999999,16.069970400000003,11.697401039999932,1,9.043629360000068
